DN,sAMAccountName,manager
"CN=Megan Alsop,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",752685,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Angus,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",714143,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Bannatyne,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",673677,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Barrow,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",690942,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Beveridge,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",826334,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Blaney,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",246208,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Bloss,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",463537,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Briare,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",262662,
"CN=Megan Brocklesby,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",924537,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Brougham,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",934964,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Burbeck,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",786079,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Burgos,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",309704,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Buxton,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",424965,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Chilton,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",315960,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Church,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",388030,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Cliff,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",433993,
"CN=Megan Croft,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",937283,
"CN=Megan Dorset,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",702887,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Durham,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",796878,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Ewell,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",996819,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Falun,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",341301,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Fanshaw,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",310414,
"CN=Megan Filley,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",553481,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Fleming,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",240098,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Girvan,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",808548,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Harding,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",880855,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Harlow,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",858678,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Holt,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",990393,
"CN=Megan Holywell,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",441864,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Hungerford,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",198655,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Kinloch,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",973002,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Laycock,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",577029,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Livingstone,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",963581,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",260188,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Mansle,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",819857,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Medcaf,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",276284,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Milbourne,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",305148,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Moseley,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",642718,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Nairne,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",251072,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Nance,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",881125,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Oxford,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",229024,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Paris,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",610792,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Peebles,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",979965,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Poole,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",939468,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Poulton,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",460660,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Reddenhurst,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",192078,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Rochester,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",989814,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Seaforth,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",142168,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Shuckburgh,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",148849,
"CN=Megan Troublefield,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",213155,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Van Alstyne,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",547326,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Welby,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",232351,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Wells,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",389139,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Megan Winthrop,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",485823,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Averill,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",597297,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Barringer,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",224539,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Barry,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",734180,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Beal,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",247951,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Beckett,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",682034,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Bentley,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",663102,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Bolingbroke,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",561107,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Boynton,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",766244,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Bridges,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",282323,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Burleigh,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",701110,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Burrard,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",767752,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Calder,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",575567,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Cary,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",498846,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Caw,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",343072,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Cobern,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",376656,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Cochran,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",159033,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Cockburn,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",373374,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",554196,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Cranstoun,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",472761,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Dutton,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",665600,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Eastcote,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",409476,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Farnham,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",910354,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Fothergill,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",486907,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Gliston,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",898813,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Gloucester,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",812010,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Haineau,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",578837,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Hartwell,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",286949,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Hastings,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",771716,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Hope,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",473361,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Hough,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",155139,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Incledon,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",906855,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Ireton,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",923799,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Kelsey,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",907156,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Knox,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",643228,
"CN=Melanie Kyle,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",503310,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Lewknor,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",626124,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Mar,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",557638,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Merton,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",426319,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Monroe,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",325603,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Northop,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",404379,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Olmstead,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",896111,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Parsall,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",257036,
"CN=Melanie Pevensey,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",915195,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Riddell,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",937617,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Root,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",448236,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Scarret,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",760056,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Sheppy,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",143072,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Shiel,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",660095,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Shurtliff,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",720786,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Strain,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",549960,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Sunderland,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",305359,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Sutton,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",392826,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Torry,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",204345,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Van Arnhem,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",714776,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Weeden,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",159119,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Wemyss,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",138472,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Wentworth,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",894430,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Wigan,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",890355,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Winch,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",453638,
"CN=Melanie Wire,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",187444,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie Wiswall,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",294403,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melanie York,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",739763,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Appleby,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",709061,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Balcombe,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",512462,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Beakley,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",388783,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Berwick,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",886020,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Bethune,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",215501,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Billings,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",225859,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Bonar,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",288154,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Bromley,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",334802,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Burnham,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",334484,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Bushwell,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",302142,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Caxton,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",275108,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Chichester,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",248942,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Cobb,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",365336,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Conyers,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",859344,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Coote,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",760716,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Cotesworth,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",864741,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Crawford,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",173117,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Crayford,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",301444,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Cummings,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",164103,
"CN=Melissa Dunham,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",931626,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Fay,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",601295,
"CN=Melissa Forbes,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",151670,
"CN=Melissa Garfield,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",472215,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Gavet,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",734546,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Getty,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",751722,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Melissa Hampton,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",714056,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
